String,Epoch,Error,Time,Difference,DST
Thu Nov  4 18:13:16 2021,1636009996.9129066,16.912907600402832,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=13, tm_sec=16, tm_wday=3, tm_yday=308, tm_isdst=1)",0,1
Thu Nov  4 18:14:00 2021,1636010040.0,9.34600830078125e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=14, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:15:00 2021,1636010100.0,0.00018358230590820312,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=15, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:16:00 2021,1636010160.0,4.8160552978515625e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=16, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:17:00 2021,1636010280.0,5.245208740234375e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=17, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:18:00 2021,1636010340.0,5.793571472167969e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=18, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:19:00 2021,1636010400.0,9.799003601074219e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=19, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:20:00 2021,1636010460.0,4.363059997558594e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=20, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:32:00 2021,1636011120.0,0.00014138221740722656,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=32, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:33:00 2021,1636011180.0,3.170967102050781e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=33, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:34:00 2021,1636011240.0,7.295608520507812e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=34, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:35:00 2021,1636011300.0,1.1444091796875e-05,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=35, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
Thu Nov  4 18:36:00 2021,1636011360.0,0.000148773193359375,"time.struct_time(tm_year=2021, tm_mon=11, tm_mday=4, tm_hour=18, tm_min=36, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=1)",,1
